[D] Systrack v0.8
[D] Command line: systrack -vvvv --format json --arch arm64-aarch32 --kdir /mnt/m2data/linux-worktrees/v5.18 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-arm64-v5.18
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-arm64-v5.18
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-arm64-v5.18
Detected kernel version: 5.18.0 (from vmlinux)
[D] Arch: ArchArm64(name='arm64', bits32=False, abi='aarch32', compat=True, ...)
[D] Syscall table: Symbol("compat_sys_call_table" at 0xffff800008e96058, type=OBJECT, size=0xe18)
[I] Syscall table (compat_sys_call_table) is 3608 bytes, 451 entries
[D] Found ni_syscall: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] Found ni_syscall: Symbol("sys_ni_syscall" at 0xffff8000080be9f0, type=FUNC, size=0x14)
[D] compat_sys_call_table[0]: Symbol("__arm64_sys_restart_syscall" at 0xffff8000080a57f0, type=FUNC, size=0x2c)
[D] compat_sys_call_table[1]: Symbol("__arm64_sys_exit" at 0xffff800008098854, type=FUNC, size=0x18)
[D] compat_sys_call_table[2]: Symbol("__arm64_sys_fork" at 0xffff800008090980, type=FUNC, size=0x68)
[D] compat_sys_call_table[3]: Symbol("__arm64_sys_read" at 0xffff80000830d5d4, type=FUNC, size=0x2c)
[D] compat_sys_call_table[4]: Symbol("__arm64_sys_write" at 0xffff80000830d704, type=FUNC, size=0x2c)
[D] compat_sys_call_table[5]: Symbol("__arm64_compat_sys_open" at 0xffff80000830a604, type=FUNC, size=0xa0)
[D] compat_sys_call_table[6]: Symbol("__arm64_sys_close" at 0xffff80000830a7d0, type=FUNC, size=0x50)
[D] compat_sys_call_table[7]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
