[D] Systrack v0.8
[D] Command line: systrack -vvvv --format json --arch arm64-aarch32 --kdir /mnt/m2data/linux-worktrees/v5.4 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-arm64-v5.4
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-arm64-v5.4
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-arm64-v5.4
Detected kernel version: 5.4.0 (from vmlinux)
[D] Arch: ArchArm64(name='arm64', bits32=False, abi='aarch32', compat=True, ...)
[D] Syscall table: Symbol("compat_sys_call_table" at 0xffff800010bb4d68, type=OBJECT, size=0xda0)
[I] Syscall table (compat_sys_call_table) is 3488 bytes, 436 entries
[D] Found ni_syscall: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] Found ni_syscall: Symbol("sys_ni_syscall" at 0xffff800010114a80, type=FUNC, size=0x8)
[D] compat_sys_call_table[0]: Symbol("__arm64_sys_restart_syscall" at 0xffff8000100fdf74, type=FUNC, size=0x20)
[D] compat_sys_call_table[1]: Symbol("__arm64_sys_exit" at 0xffff8000100f1630, type=FUNC, size=0x14)
[D] compat_sys_call_table[2]: Symbol("__arm64_sys_fork" at 0xffff8000100ea300, type=FUNC, size=0x5c)
[D] compat_sys_call_table[3]: Symbol("__arm64_sys_read" at 0xffff8000102e3ce0, type=FUNC, size=0x20)
[D] compat_sys_call_table[4]: Symbol("__arm64_sys_write" at 0xffff8000102e3e00, type=FUNC, size=0x20)
[D] compat_sys_call_table[5]: Symbol("__arm64_compat_sys_open" at 0xffff8000102e08e0, type=FUNC, size=0x28)
[D] compat_sys_call_table[6]: Symbol("__arm64_sys_close" at 0xffff8000102e0970, type=FUNC, size=0x50)
[D] compat_sys_call_table[7]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[8]: Symbol("__arm64_sys_creat" at 0xffff8000102e0940, type=FUNC, size=0x2c)
[D] compat_sys_call_table[9]: Symbol("__arm64_sys_link" at 0xffff8000102f8784, type=FUNC, size=0x2c)
[D] compat_sys_call_table[10]: Symbol("__arm64_sys_unlink" at 0xffff8000102f81f4, type=FUNC, size=0x70)
[D] compat_sys_call_table[11]: Symbol("__arm64_compat_sys_execve" at 0xffff8000102edb60, type=FUNC, size=0x50)
[D] compat_sys_call_table[12]: Symbol("__arm64_sys_chdir" at 0xffff8000102dfe50, type=FUNC, size=0x1c)
[D] compat_sys_call_table[13]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[14]: Symbol("__arm64_sys_mknod" at 0xffff8000102f7b70, type=FUNC, size=0x28)
[D] compat_sys_call_table[15]: Symbol("__arm64_sys_chmod" at 0xffff8000102e0200, type=FUNC, size=0x28)
[D] compat_sys_call_table[16]: Symbol("__arm64_sys_lchown16" at 0xffff80001018aa10, type=FUNC, size=0x48)
[D] compat_sys_call_table[17]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[18]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[19]: Symbol("__arm64_compat_sys_lseek" at 0xffff8000102e22c4, type=FUNC, size=0x24)
[D] compat_sys_call_table[20]: Symbol("__arm64_sys_getpid" at 0xffff8000101060b0, type=FUNC, size=0x24)
[D] compat_sys_call_table[21]: Symbol("__arm64_compat_sys_mount" at 0xffff800010353960, type=FUNC, size=0x134)
[D] compat_sys_call_table[22]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[23]: Symbol("__arm64_sys_setuid16" at 0xffff80001018ab34, type=FUNC, size=0x24)
