[D] Systrack v0.8
[D] Command line: systrack -vvvv --format json --arch arm64-aarch32 --kdir /mnt/m2data/linux-worktrees/v6.13 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-arm64-v6.13
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-arm64-v6.13
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-arm64-v6.13
Detected kernel version: 6.13.0 (from vmlinux)
[D] Arch: ArchArm64(name='arm64', bits32=False, abi='aarch32', compat=True, ...)
[D] Syscall table: Symbol("compat_sys_call_table" at 0xffff8000810781d8, type=OBJECT, size=0xe98)
[I] Syscall table (compat_sys_call_table) is 3736 bytes, 467 entries
[D] Found ni_syscall: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] Found ni_syscall: Symbol("sys_ni_syscall" at 0xffff8000800f4200, type=FUNC, size=0x8)
[D] compat_sys_call_table[0]: Symbol("__arm64_sys_restart_syscall" at 0xffff8000800d8e28, type=FUNC, size=0x28)
[D] compat_sys_call_table[1]: Symbol("__arm64_sys_exit" at 0xffff8000800ca7c8, type=FUNC, size=0x18)
[D] compat_sys_call_table[2]: Symbol("__arm64_sys_fork" at 0xffff8000800c32e4, type=FUNC, size=0x70)
[D] compat_sys_call_table[3]: Symbol("__arm64_sys_read" at 0xffff8000803abfc8, type=FUNC, size=0x28)
[D] compat_sys_call_table[4]: Symbol("__arm64_sys_write" at 0xffff8000803ac100, type=FUNC, size=0x28)
[D] compat_sys_call_table[5]: Symbol("__arm64_compat_sys_open" at 0xffff8000803a8bb0, type=FUNC, size=0xb0)
[D] compat_sys_call_table[6]: Symbol("__arm64_sys_close" at 0xffff8000803a8d90, type=FUNC, size=0x7c)
[D] compat_sys_call_table[7]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[8]: Symbol("__arm64_sys_creat" at 0xffff8000803a8d10, type=FUNC, size=0x80)
[D] compat_sys_call_table[9]: Symbol("__arm64_sys_link" at 0xffff8000803c36e0, type=FUNC, size=0xb4)
[D] compat_sys_call_table[10]: Symbol("__arm64_sys_unlink" at 0xffff8000803c3060, type=FUNC, size=0x80)
[D] compat_sys_call_table[11]: Symbol("__arm64_compat_sys_execve" at 0xffff8000803b7844, type=FUNC, size=0x54)
[D] compat_sys_call_table[12]: Symbol("__arm64_sys_chdir" at 0xffff8000803a73a0, type=FUNC, size=0xfc)
[D] compat_sys_call_table[13]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[14]: Symbol("__arm64_sys_mknod" at 0xffff8000803c27a0, type=FUNC, size=0x80)
[D] compat_sys_call_table[15]: Symbol("__arm64_sys_chmod" at 0xffff8000803a7b24, type=FUNC, size=0xcc)
