[D] Systrack v0.8
[D] Command line: systrack -vvvv --format json --arch arm64 --kdir /mnt/m2data/linux-worktrees/v6.5 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-arm64-v6.5
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-arm64-v6.5
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-arm64-v6.5
Detected kernel version: 6.5.0 (from vmlinux)
[D] Arch: ArchArm64(name='arm64', bits32=False, abi='aarch64', compat=False, ...)
[D] Syscall table: Symbol("sys_call_table" at 0xffff800080f30978, type=OBJECT, size=0xe20)
[I] Syscall table (sys_call_table) is 3616 bytes, 452 entries
[D] Found ni_syscall: Symbol("__arm64_sys_ni_syscall" at 0xffff800080020e78, type=FUNC, size=0x1c)
[D] Found ni_syscall: Symbol("sys_ni_syscall" at 0xffff8000800c35b4, type=FUNC, size=0x8)
[D] sys_call_table[0]: Symbol("__arm64_sys_io_setup" at 0xffff8000803a3da4, type=FUNC, size=0x11c)
[D] sys_call_table[1]: Symbol("__arm64_sys_io_destroy" at 0xffff8000803a3fe0, type=FUNC, size=0xcc)
[D] sys_call_table[2]: Symbol("__arm64_sys_io_submit" at 0xffff8000803a40ac, type=FUNC, size=0x1a4)
[D] sys_call_table[3]: Symbol("__arm64_sys_io_cancel" at 0xffff8000803a43f0, type=FUNC, size=0x15c)
[D] sys_call_table[4]: Symbol("__arm64_sys_io_getevents" at 0xffff8000803a454c, type=FUNC, size=0xd0)
[D] sys_call_table[5]: Symbol("__arm64_sys_setxattr" at 0xffff80008036e0ac, type=FUNC, size=0x34)
[D] sys_call_table[6]: Symbol("__arm64_sys_lsetxattr" at 0xffff80008036e0e0, type=FUNC, size=0x34)
[D] sys_call_table[7]: Symbol("__arm64_sys_fsetxattr" at 0xffff80008036e114, type=FUNC, size=0xe8)
[D] sys_call_table[8]: Symbol("__arm64_sys_getxattr" at 0xffff80008036e554, type=FUNC, size=0x2c)
[D] sys_call_table[9]: Symbol("__arm64_sys_lgetxattr" at 0xffff80008036e580, type=FUNC, size=0x2c)
[D] sys_call_table[10]: Symbol("__arm64_sys_fgetxattr" at 0xffff80008036e5ac, type=FUNC, size=0xcc)
[D] sys_call_table[11]: Symbol("__arm64_sys_listxattr" at 0xffff80008036e678, type=FUNC, size=0x2c)
[D] sys_call_table[12]: Symbol("__arm64_sys_llistxattr" at 0xffff80008036e6a4, type=FUNC, size=0x2c)
[D] sys_call_table[13]: Symbol("__arm64_sys_flistxattr" at 0xffff80008036e6d0, type=FUNC, size=0xc0)
[D] sys_call_table[14]: Symbol("__arm64_sys_removexattr" at 0xffff80008036e790, type=FUNC, size=0x28)
[D] sys_call_table[15]: Symbol("__arm64_sys_lremovexattr" at 0xffff80008036e7b8, type=FUNC, size=0x28)
[D] sys_call_table[16]: Symbol("__arm64_sys_fremovexattr" at 0xffff80008036e7e0, type=FUNC, size=0xc8)
[D] sys_call_table[17]: Symbol("__arm64_sys_getcwd" at 0xffff80008037fe14, type=FUNC, size=0x1d0)
[D] sys_call_table[18]: Symbol("__arm64_sys_lookup_dcookie" at 0xffff8000800c3634, type=FUNC, size=0x8)
[D] sys_call_table[19]: Symbol("__arm64_sys_eventfd2" at 0xffff80008039d8b4, type=FUNC, size=0x2c)
