[D] Systrack v0.8
[D] Command line: systrack -vvvv --format json --arch arm64 --kdir /mnt/m2data/linux-worktrees/v6.9 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-arm64-v6.9
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-arm64-v6.9
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-arm64-v6.9
Detected kernel version: 6.9.0 (from vmlinux)
[D] Arch: ArchArm64(name='arm64', bits32=False, abi='aarch64', compat=False, ...)
[D] Syscall table: Symbol("sys_call_table" at 0xffff800080fc09e8, type=OBJECT, size=0xe70)
[I] Syscall table (sys_call_table) is 3696 bytes, 462 entries
[D] Found ni_syscall: Symbol("__arm64_sys_ni_syscall" at 0xffff8000800203b0, type=FUNC, size=0x1c)
[D] Found ni_syscall: Symbol("sys_ni_syscall" at 0xffff8000800ceed4, type=FUNC, size=0x8)
[D] sys_call_table[0]: Symbol("__arm64_sys_io_setup" at 0xffff8000803e37a8, type=FUNC, size=0x11c)
[D] sys_call_table[1]: Symbol("__arm64_sys_io_destroy" at 0xffff8000803e39e4, type=FUNC, size=0xcc)
[D] sys_call_table[2]: Symbol("__arm64_sys_io_submit" at 0xffff8000803e3ab0, type=FUNC, size=0x1a0)
[D] sys_call_table[3]: Symbol("__arm64_sys_io_cancel" at 0xffff8000803e3df0, type=FUNC, size=0x15c)
[D] sys_call_table[4]: Symbol("__arm64_sys_io_getevents" at 0xffff8000803e3f4c, type=FUNC, size=0xd0)
[D] sys_call_table[5]: Symbol("__arm64_sys_setxattr" at 0xffff8000803aaba4, type=FUNC, size=0x34)
[D] sys_call_table[6]: Symbol("__arm64_sys_lsetxattr" at 0xffff8000803aabd8, type=FUNC, size=0x34)
[D] sys_call_table[7]: Symbol("__arm64_sys_fsetxattr" at 0xffff8000803aac0c, type=FUNC, size=0xe8)
[D] sys_call_table[8]: Symbol("__arm64_sys_getxattr" at 0xffff8000803ab04c, type=FUNC, size=0x2c)
[D] sys_call_table[9]: Symbol("__arm64_sys_lgetxattr" at 0xffff8000803ab078, type=FUNC, size=0x2c)
[D] sys_call_table[10]: Symbol("__arm64_sys_fgetxattr" at 0xffff8000803ab0a4, type=FUNC, size=0xcc)
[D] sys_call_table[11]: Symbol("__arm64_sys_listxattr" at 0xffff8000803ab170, type=FUNC, size=0x2c)
[D] sys_call_table[12]: Symbol("__arm64_sys_llistxattr" at 0xffff8000803ab19c, type=FUNC, size=0x2c)
[D] sys_call_table[13]: Symbol("__arm64_sys_flistxattr" at 0xffff8000803ab1c8, type=FUNC, size=0xc0)
[D] sys_call_table[14]: Symbol("__arm64_sys_removexattr" at 0xffff8000803ab288, type=FUNC, size=0x28)
[D] sys_call_table[15]: Symbol("__arm64_sys_lremovexattr" at 0xffff8000803ab2b0, type=FUNC, size=0x28)
[D] sys_call_table[16]: Symbol("__arm64_sys_fremovexattr" at 0xffff8000803ab2d8, type=FUNC, size=0xc8)
[D] sys_call_table[17]: Symbol("__arm64_sys_getcwd" at 0xffff8000803be2ec, type=FUNC, size=0x1d0)
[D] sys_call_table[18]: Symbol("__arm64_sys_ni_syscall" at 0xffff8000800203b0, type=FUNC, size=0x1c)
[D] sys_call_table[19]: Symbol("__arm64_sys_eventfd2" at 0xffff8000803dc504, type=FUNC, size=0x2c)
[D] sys_call_table[20]: Symbol("__arm64_sys_epoll_create1" at 0xffff8000803d8848, type=FUNC, size=0x24)
[D] sys_call_table[21]: Symbol("__arm64_sys_epoll_ctl" at 0xffff8000803d943c, type=FUNC, size=0xe0)
[D] sys_call_table[22]: Symbol("__arm64_sys_epoll_pwait" at 0xffff8000803d960c, type=FUNC, size=0x110)
[D] sys_call_table[23]: Symbol("__arm64_sys_dup" at 0xffff80008039d578, type=FUNC, size=0x148)
[D] sys_call_table[24]: Symbol("__arm64_sys_dup3" at 0xffff80008039d434, type=FUNC, size=0x30)
[D] sys_call_table[25]: Symbol("__arm64_sys_fcntl" at 0xffff80008038bd60, type=FUNC, size=0xdc)
[D] sys_call_table[26]: Symbol("__arm64_sys_inotify_init1" at 0xffff8000803d25b4, type=FUNC, size=0x24)
[D] sys_call_table[27]: Symbol("__arm64_sys_inotify_add_watch" at 0xffff8000803d25fc, type=FUNC, size=0x430)
[D] sys_call_table[28]: Symbol("__arm64_sys_inotify_rm_watch" at 0xffff8000803d2a2c, type=FUNC, size=0xfc)
[D] sys_call_table[29]: Symbol("__arm64_sys_ioctl" at 0xffff80008038dac4, type=FUNC, size=0xf0)
[D] sys_call_table[30]: Symbol("__arm64_sys_ioprio_set" at 0xffff8000805e3da8, type=FUNC, size=0x2c4)
[D] sys_call_table[31]: Symbol("__arm64_sys_ioprio_get" at 0xffff8000805e406c, type=FUNC, size=0x360)
[D] sys_call_table[32]: Symbol("__arm64_sys_flock" at 0xffff8000803ea21c, type=FUNC, size=0x28)
[D] sys_call_table[33]: Symbol("__arm64_sys_mknodat" at 0xffff80008038957c, type=FUNC, size=0x5c)
[D] sys_call_table[34]: Symbol("__arm64_sys_mkdirat" at 0xffff8000803897c8, type=FUNC, size=0x7c)
[D] sys_call_table[35]: Symbol("__arm64_sys_unlinkat" at 0xffff800080389dac, type=FUNC, size=0x80)
[D] sys_call_table[36]: Symbol("__arm64_sys_symlinkat" at 0xffff800080389ffc, type=FUNC, size=0x68)
[D] sys_call_table[37]: Symbol("__arm64_sys_linkat" at 0xffff80008038a380, type=FUNC, size=0x80)
[D] sys_call_table[38]: Symbol("__arm64_sys_renameat" at 0xffff80008038a9ec, type=FUNC, size=0x70)
[D] sys_call_table[39]: Symbol("__arm64_sys_umount" at 0xffff8000803a28c0, type=FUNC, size=0x98)
[D] sys_call_table[40]: Symbol("__arm64_sys_mount" at 0xffff8000803a52ec, type=FUNC, size=0x2b4)
[D] sys_call_table[41]: Symbol("__arm64_sys_pivot_root" at 0xffff8000803a5c84, type=FUNC, size=0x4f8)
[D] sys_call_table[42]: Symbol("__arm64_sys_ni_syscall" at 0xffff8000800203b0, type=FUNC, size=0x1c)
[D] sys_call_table[43]: Symbol("__arm64_sys_statfs" at 0xffff8000803bf834, type=FUNC, size=0x20)
[D] sys_call_table[44]: Symbol("__arm64_sys_fstatfs" at 0xffff8000803bf87c, type=FUNC, size=0x28)
[D] sys_call_table[45]: Symbol("__arm64_sys_truncate" at 0xffff80008036f2a0, type=FUNC, size=0xd4)
[D] sys_call_table[46]: Symbol("__arm64_sys_ftruncate" at 0xffff80008036f5b0, type=FUNC, size=0x2c)
[D] sys_call_table[47]: Symbol("__arm64_sys_fallocate" at 0xffff80008036f6a4, type=FUNC, size=0x30)
[D] sys_call_table[48]: Symbol("__arm64_sys_faccessat" at 0xffff80008036f6d4, type=FUNC, size=0x30)
