[D] Command line arguments: ['-vvvv', '--format', 'json', '--arch', 'powerpc', '--kdir', '/mnt/m2data/linux-worktrees/v6.12', '--remap', '/mnt/m2data/linux', '/mnt/m2data/kernels/vmlinux-powerpc-v6.12']
[D] Running command: ['readelf', '-Ws', PosixPath('/mnt/m2data/kernels/vmlinux-powerpc-v6.12')]
[D] Running command: ['readelf', '-WS', PosixPath('/mnt/m2data/kernels/vmlinux-powerpc-v6.12')]
Detected kernel version: 6.12.0 (from vmlinux)
[D] Arch: ArchPowerPC(name='powerpc', bits32=True, abi='ppc32', compat=False, ...)
[D] Syscall table: Symbol("sys_call_table" at 0xc0e64154, type=OBJECT, size=0x73c)
[I] Syscall table (sys_call_table) is 1852 bytes, 463 entries
[D] Found ni_syscall: Symbol("sys_ni_syscall" at 0xc00ad0f0, type=FUNC, size=0x18)
[D] Discarding compat_sys_epoll_pwait as alias for sys_ni_syscall
[D] Discarding compat_sys_epoll_pwait2 as alias for sys_ni_syscall
[D] Discarding compat_sys_fadvise64_64 as alias for sys_ni_syscall
[D] Discarding compat_sys_fanotify_mark as alias for sys_ni_syscall
[D] Discarding compat_sys_get_robust_list as alias for sys_ni_syscall
[D] Discarding compat_sys_getitimer as alias for sys_ni_syscall
[D] Discarding compat_sys_getsockopt as alias for sys_ni_syscall
[D] Discarding compat_sys_io_pgetevents as alias for sys_ni_syscall
[D] Discarding compat_sys_io_pgetevents_time64 as alias for sys_ni_syscall
[D] Discarding compat_sys_io_setup as alias for sys_ni_syscall
[D] Discarding compat_sys_io_submit as alias for sys_ni_syscall
[D] Discarding compat_sys_ipc as alias for sys_ni_syscall
[D] Discarding compat_sys_kexec_load as alias for sys_ni_syscall
[D] Discarding compat_sys_keyctl as alias for sys_ni_syscall
[D] Discarding compat_sys_mq_getsetattr as alias for sys_ni_syscall
[D] Discarding compat_sys_mq_notify as alias for sys_ni_syscall
[D] Discarding compat_sys_mq_open as alias for sys_ni_syscall
[D] Discarding compat_sys_msgctl as alias for sys_ni_syscall
[D] Discarding compat_sys_msgrcv as alias for sys_ni_syscall
[D] Discarding compat_sys_msgsnd as alias for sys_ni_syscall
[D] Discarding compat_sys_old_msgctl as alias for sys_ni_syscall
[D] Discarding compat_sys_old_semctl as alias for sys_ni_syscall
[D] Discarding compat_sys_old_shmctl as alias for sys_ni_syscall
[D] Discarding compat_sys_open_by_handle_at as alias for sys_ni_syscall
[D] Discarding compat_sys_ppoll_time32 as alias for sys_ni_syscall
[D] Discarding compat_sys_process_vm_readv as alias for sys_ni_syscall
[D] Discarding compat_sys_process_vm_writev as alias for sys_ni_syscall
[D] Discarding compat_sys_pselect6_time32 as alias for sys_ni_syscall
[D] Discarding compat_sys_recv as alias for sys_ni_syscall
[D] Discarding compat_sys_recvfrom as alias for sys_ni_syscall
[D] Discarding compat_sys_recvmmsg_time32 as alias for sys_ni_syscall
[D] Discarding compat_sys_recvmmsg_time64 as alias for sys_ni_syscall
[D] Discarding compat_sys_recvmsg as alias for sys_ni_syscall
[D] Discarding compat_sys_rt_sigtimedwait_time32 as alias for sys_ni_syscall
[D] Discarding compat_sys_s390_ipc as alias for sys_ni_syscall
[D] Discarding compat_sys_semctl as alias for sys_ni_syscall
[D] Discarding compat_sys_sendmmsg as alias for sys_ni_syscall
[D] Discarding compat_sys_sendmsg as alias for sys_ni_syscall
[D] Discarding compat_sys_set_robust_list as alias for sys_ni_syscall
[D] Discarding compat_sys_setitimer as alias for sys_ni_syscall
[D] Discarding compat_sys_setsockopt as alias for sys_ni_syscall
[D] Discarding compat_sys_shmat as alias for sys_ni_syscall
[D] Discarding compat_sys_shmctl as alias for sys_ni_syscall
[D] Discarding compat_sys_signalfd as alias for sys_ni_syscall
[D] Discarding compat_sys_signalfd4 as alias for sys_ni_syscall
[D] Discarding compat_sys_socketcall as alias for sys_ni_syscall
[D] Discarding compat_sys_timer_create as alias for sys_ni_syscall
[D] sys_call_table[0]: Symbol("sys_restart_syscall" at 0xc008fa6c, type=FUNC, size=0x20)
[D] sys_call_table[1]: Symbol("sys_exit" at 0xc007fa70, type=FUNC, size=0x20)
[D] sys_call_table[2]: Symbol("sys_fork" at 0xc0076044, type=FUNC, size=0x68)
[D] sys_call_table[3]: Symbol("sys_read" at 0xc03ced5c, type=FUNC, size=0x20)
[D] sys_call_table[4]: Symbol("sys_write" at 0xc03ceec8, type=FUNC, size=0x20)
[D] sys_call_table[5]: Symbol("sys_open" at 0xc03ca798, type=FUNC, size=0xf0)
[D] sys_call_table[6]: Symbol("sys_close" at 0xc03cab5c, type=FUNC, size=0x9c)
[D] sys_call_table[7]: Symbol("sys_waitpid" at 0xc00807b8, type=FUNC, size=0x24)
[D] sys_call_table[8]: Symbol("sys_creat" at 0xc03caab0, type=FUNC, size=0xac)
[D] sys_call_table[9]: Symbol("sys_link" at 0xc03e9f48, type=FUNC, size=0x68)
[D] sys_call_table[10]: Symbol("sys_unlink" at 0xc03e98d4, type=FUNC, size=0x84)
[D] sys_call_table[11]: Symbol("sys_execve" at 0xc03dc01c, type=FUNC, size=0x68)
[D] sys_call_table[12]: Symbol("sys_chdir" at 0xc03c8ef0, type=FUNC, size=0xf4)
[D] sys_call_table[13]: Symbol("sys_time32" at 0xc0152d30, type=FUNC, size=0xbc)
[D] sys_call_table[14]: Symbol("sys_mknod" at 0xc03e8f90, type=FUNC, size=0x5c)
[D] sys_call_table[15]: Symbol("sys_chmod" at 0xc03c9718, type=FUNC, size=0xd4)
[D] sys_call_table[16]: Symbol("sys_lchown" at 0xc03c9c6c, type=FUNC, size=0x2c)
[D] sys_call_table[17]: Symbol("sys_ni_syscall" at 0xc00ad0f0, type=FUNC, size=0x18)
[D] sys_call_table[18]: Symbol("sys_stat" at 0xc03d8368, type=FUNC, size=0x1c)
[D] sys_call_table[19]: Symbol("sys_lseek" at 0xc03cd5f4, type=FUNC, size=0x120)
[D] sys_call_table[20]: Symbol("sys_getpid" at 0xc0097a6c, type=FUNC, size=0x20)
[D] sys_call_table[21]: Symbol("sys_mount" at 0xc0408ce4, type=FUNC, size=0x25c)
[D] sys_call_table[22]: Symbol("sys_oldumount" at 0xc0405d5c, type=FUNC, size=0x7c)
[D] sys_call_table[23]: Symbol("sys_setuid" at 0xc0096b0c, type=FUNC, size=0x18)
[D] sys_call_table[24]: Symbol("sys_getuid" at 0xc0097ae0, type=FUNC, size=0x3c)
[D] sys_call_table[25]: Symbol("sys_stime32" at 0xc0152dec, type=FUNC, size=0xd0)
[D] sys_call_table[26]: Symbol("sys_ptrace" at 0xc008a600, type=FUNC, size=0x598)
[D] sys_call_table[27]: Symbol("sys_alarm" at 0xc016fe98, type=FUNC, size=0xf8)
[D] sys_call_table[28]: Symbol("sys_fstat" at 0xc03d83a0, type=FUNC, size=0x1c)
[D] sys_call_table[29]: Symbol("sys_pause" at 0xc0094538, type=FUNC, size=0x74)
[D] sys_call_table[30]: Symbol("sys_utime32" at 0xc0428028, type=FUNC, size=0x180)
[D] sys_call_table[31]: Symbol("sys_ni_syscall" at 0xc00ad0f0, type=FUNC, size=0x18)
[D] sys_call_table[32]: Symbol("sys_ni_syscall" at 0xc00ad0f0, type=FUNC, size=0x18)
[D] sys_call_table[33]: Symbol("sys_access" at 0xc03c8ec8, type=FUNC, size=0x28)
[D] sys_call_table[34]: Symbol("sys_nice" at 0xc00ebb38, type=FUNC, size=0xdc)
[D] sys_call_table[35]: Symbol("sys_ni_syscall" at 0xc00ad0f0, type=FUNC, size=0x18)
[D] sys_call_table[36]: Symbol("sys_sync" at 0xc0427154, type=FUNC, size=0x2c)
[D] sys_call_table[37]: Symbol("sys_kill" at 0xc0092f08, type=FUNC, size=0x258)
[D] sys_call_table[38]: Symbol("sys_rename" at 0xc03ea6d0, type=FUNC, size=0x68)
[D] sys_call_table[39]: Symbol("sys_mkdir" at 0xc03e91ec, type=FUNC, size=0x9c)
[D] sys_call_table[40]: Symbol("sys_rmdir" at 0xc03e9458, type=FUNC, size=0x84)
[D] sys_call_table[41]: Symbol("sys_dup" at 0xc03ffa30, type=FUNC, size=0x18c)
[D] sys_call_table[42]: Symbol("sys_pipe" at 0xc03de7a4, type=FUNC, size=0x1c)
[D] sys_call_table[43]: Symbol("sys_times" at 0xc0097bd0, type=FUNC, size=0x178)
[D] sys_call_table[44]: Symbol("sys_ni_syscall" at 0xc00ad0f0, type=FUNC, size=0x18)
