[D] Systrack v0.8
[D] Command line: systrack -vvvv --format json --arch powerpc --kdir /mnt/m2data/linux-worktrees/v6.16 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-powerpc-v6.16
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-powerpc-v6.16
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-powerpc-v6.16
Detected kernel version: 6.16.0 (from vmlinux)
[D] Arch: ArchPowerPC(name='powerpc', bits32=True, abi='ppc32', compat=False, ...)
[D] Syscall table: Symbol("sys_call_table" at 0xc0e93174, type=OBJECT, size=0x750)
[I] Syscall table (sys_call_table) is 1872 bytes, 468 entries
[D] Found ni_syscall: Symbol("sys_ni_syscall" at 0xc00af8a8, type=FUNC, size=0x18)
[D] Discarding compat_sys_epoll_pwait as alias for sys_ni_syscall
[D] Discarding compat_sys_epoll_pwait2 as alias for sys_ni_syscall
[D] Discarding compat_sys_fadvise64_64 as alias for sys_ni_syscall
[D] Discarding compat_sys_fanotify_mark as alias for sys_ni_syscall
[D] Discarding compat_sys_get_robust_list as alias for sys_ni_syscall
[D] Discarding compat_sys_getitimer as alias for sys_ni_syscall
[D] Discarding compat_sys_getsockopt as alias for sys_ni_syscall
[D] Discarding compat_sys_io_pgetevents as alias for sys_ni_syscall
[D] Discarding compat_sys_io_pgetevents_time64 as alias for sys_ni_syscall
[D] Discarding compat_sys_io_setup as alias for sys_ni_syscall
[D] Discarding compat_sys_io_submit as alias for sys_ni_syscall
[D] Discarding compat_sys_ipc as alias for sys_ni_syscall
[D] Discarding compat_sys_kexec_load as alias for sys_ni_syscall
[D] Discarding compat_sys_keyctl as alias for sys_ni_syscall
[D] Discarding compat_sys_mq_getsetattr as alias for sys_ni_syscall
[D] Discarding compat_sys_mq_notify as alias for sys_ni_syscall
[D] Discarding compat_sys_mq_open as alias for sys_ni_syscall
[D] Discarding compat_sys_msgctl as alias for sys_ni_syscall
[D] Discarding compat_sys_msgrcv as alias for sys_ni_syscall
[D] Discarding compat_sys_msgsnd as alias for sys_ni_syscall
[D] Discarding compat_sys_old_msgctl as alias for sys_ni_syscall
[D] Discarding compat_sys_old_semctl as alias for sys_ni_syscall
[D] Discarding compat_sys_old_shmctl as alias for sys_ni_syscall
[D] Discarding compat_sys_open_by_handle_at as alias for sys_ni_syscall
[D] Discarding compat_sys_ppoll_time32 as alias for sys_ni_syscall
[D] Discarding compat_sys_process_vm_readv as alias for sys_ni_syscall
[D] Discarding compat_sys_process_vm_writev as alias for sys_ni_syscall
[D] Discarding compat_sys_pselect6_time32 as alias for sys_ni_syscall
[D] Discarding compat_sys_recv as alias for sys_ni_syscall
[D] Discarding compat_sys_recvfrom as alias for sys_ni_syscall
[D] Discarding compat_sys_recvmmsg_time32 as alias for sys_ni_syscall
[D] Discarding compat_sys_recvmmsg_time64 as alias for sys_ni_syscall
[D] Discarding compat_sys_recvmsg as alias for sys_ni_syscall
[D] Discarding compat_sys_rt_sigtimedwait_time32 as alias for sys_ni_syscall
[D] Discarding compat_sys_s390_ipc as alias for sys_ni_syscall
[D] Discarding compat_sys_semctl as alias for sys_ni_syscall
[D] Discarding compat_sys_sendmmsg as alias for sys_ni_syscall
[D] Discarding compat_sys_sendmsg as alias for sys_ni_syscall
[D] Discarding compat_sys_set_robust_list as alias for sys_ni_syscall
[D] Discarding compat_sys_setitimer as alias for sys_ni_syscall
[D] Discarding compat_sys_setsockopt as alias for sys_ni_syscall
[D] Discarding compat_sys_shmat as alias for sys_ni_syscall
[D] Discarding compat_sys_shmctl as alias for sys_ni_syscall
[D] Discarding compat_sys_signalfd as alias for sys_ni_syscall
[D] Discarding compat_sys_signalfd4 as alias for sys_ni_syscall
[D] Discarding compat_sys_socketcall as alias for sys_ni_syscall
[D] Discarding compat_sys_timer_create as alias for sys_ni_syscall
[D] sys_call_table[0]: Symbol("sys_restart_syscall" at 0xc0090590, type=FUNC, size=0x20)
[D] sys_call_table[1]: Symbol("sys_exit" at 0xc007fc8c, type=FUNC, size=0x20)
[D] sys_call_table[2]: Symbol("sys_fork" at 0xc0076098, type=FUNC, size=0x68)
[D] sys_call_table[3]: Symbol("sys_read" at 0xc03f1a60, type=FUNC, size=0x20)
[D] sys_call_table[4]: Symbol("sys_write" at 0xc03f1bc8, type=FUNC, size=0x20)
[D] sys_call_table[5]: Symbol("sys_open" at 0xc03ed314, type=FUNC, size=0xf0)
[D] sys_call_table[6]: Symbol("sys_close" at 0xc03ed6e8, type=FUNC, size=0x8c)
[D] sys_call_table[7]: Symbol("sys_waitpid" at 0xc0080a70, type=FUNC, size=0x24)
[D] sys_call_table[8]: Symbol("sys_creat" at 0xc03ed638, type=FUNC, size=0xac)
[D] sys_call_table[9]: Symbol("sys_link" at 0xc040dc44, type=FUNC, size=0xf4)
[D] sys_call_table[10]: Symbol("sys_unlink" at 0xc040d418, type=FUNC, size=0x84)
[D] sys_call_table[11]: Symbol("sys_execve" at 0xc03ff168, type=FUNC, size=0x6c)
[D] sys_call_table[12]: Symbol("sys_chdir" at 0xc03eb97c, type=FUNC, size=0xf0)
[D] sys_call_table[13]: Symbol("sys_time32" at 0xc015935c, type=FUNC, size=0xcc)
[D] sys_call_table[14]: Symbol("sys_mknod" at 0xc040c9a8, type=FUNC, size=0xb4)
[D] sys_call_table[15]: Symbol("sys_chmod" at 0xc03ec1c0, type=FUNC, size=0xd4)
[D] sys_call_table[16]: Symbol("sys_lchown" at 0xc03ec72c, type=FUNC, size=0x2c)
[D] sys_call_table[17]: Symbol("sys_ni_syscall" at 0xc00af8a8, type=FUNC, size=0x18)
[D] sys_call_table[18]: Symbol("sys_stat" at 0xc03fb800, type=FUNC, size=0x1c)
[D] sys_call_table[19]: Symbol("sys_lseek" at 0xc03f02ac, type=FUNC, size=0x110)
[D] sys_call_table[20]: Symbol("sys_getpid" at 0xc009902c, type=FUNC, size=0x20)
[D] sys_call_table[21]: Symbol("sys_mount" at 0xc04306ec, type=FUNC, size=0x290)
[D] sys_call_table[22]: Symbol("sys_oldumount" at 0xc042d320, type=FUNC, size=0x7c)
[D] sys_call_table[23]: Symbol("sys_setuid" at 0xc0097f78, type=FUNC, size=0x18)
[D] sys_call_table[24]: Symbol("sys_getuid" at 0xc00990ac, type=FUNC, size=0x3c)
[D] sys_call_table[25]: Symbol("sys_stime32" at 0xc015942c, type=FUNC, size=0xc8)
[D] sys_call_table[26]: Symbol("sys_ptrace" at 0xc008ad48, type=FUNC, size=0x5e0)
[D] sys_call_table[27]: Symbol("sys_alarm" at 0xc0176f08, type=FUNC, size=0x100)
[D] sys_call_table[28]: Symbol("sys_fstat" at 0xc03fb840, type=FUNC, size=0x1c)
[D] sys_call_table[29]: Symbol("sys_pause" at 0xc0095540, type=FUNC, size=0x7c)
[D] sys_call_table[30]: Symbol("sys_utime32" at 0xc044fed4, type=FUNC, size=0x188)
[D] sys_call_table[31]: Symbol("sys_ni_syscall" at 0xc00af8a8, type=FUNC, size=0x18)
[D] sys_call_table[32]: Symbol("sys_ni_syscall" at 0xc00af8a8, type=FUNC, size=0x18)
[D] sys_call_table[33]: Symbol("sys_access" at 0xc03eb950, type=FUNC, size=0x28)
[D] sys_call_table[34]: Symbol("sys_nice" at 0xc00ee2c4, type=FUNC, size=0xdc)
[D] sys_call_table[35]: Symbol("sys_ni_syscall" at 0xc00af8a8, type=FUNC, size=0x18)
[D] sys_call_table[36]: Symbol("sys_sync" at 0xc044f110, type=FUNC, size=0x2c)
[D] sys_call_table[37]: Symbol("sys_kill" at 0xc0093e24, type=FUNC, size=0x278)
[D] sys_call_table[38]: Symbol("sys_rename" at 0xc040e58c, type=FUNC, size=0xf4)
[D] sys_call_table[39]: Symbol("sys_mkdir" at 0xc040ccc8, type=FUNC, size=0x9c)
[D] sys_call_table[40]: Symbol("sys_rmdir" at 0xc040cf28, type=FUNC, size=0x84)
[D] sys_call_table[41]: Symbol("sys_dup" at 0xc04253e0, type=FUNC, size=0x174)
[D] sys_call_table[42]: Symbol("sys_pipe" at 0xc0401bf4, type=FUNC, size=0x1c)
[D] sys_call_table[43]: Symbol("sys_times" at 0xc00991ac, type=FUNC, size=0x178)
[D] sys_call_table[44]: Symbol("sys_ni_syscall" at 0xc00af8a8, type=FUNC, size=0x18)
[D] sys_call_table[45]: Symbol("sys_brk" at 0xc0374fb4, type=FUNC, size=0x39c)
[D] sys_call_table[46]: Symbol("sys_setgid" at 0xc0097a48, type=FUNC, size=0x18)
[D] sys_call_table[47]: Symbol("sys_getgid" at 0xc009912c, type=FUNC, size=0x3c)
[D] sys_call_table[48]: Symbol("sys_signal" at 0xc009549c, type=FUNC, size=0xa0)
[D] sys_call_table[49]: Symbol("sys_geteuid" at 0xc00990ec, type=FUNC, size=0x3c)
[D] sys_call_table[50]: Symbol("sys_getegid" at 0xc009916c, type=FUNC, size=0x3c)
[D] sys_call_table[51]: Symbol("sys_acct" at 0xc018f260, type=FUNC, size=0x380)
[D] sys_call_table[52]: Symbol("sys_umount" at 0xc042d264, type=FUNC, size=0xb8)
[D] sys_call_table[53]: Symbol("sys_ni_syscall" at 0xc00af8a8, type=FUNC, size=0x18)
[D] sys_call_table[54]: Symbol("sys_ioctl" at 0xc0411098, type=FUNC, size=0xc88)
[D] sys_call_table[55]: Symbol("sys_fcntl" at 0xc040f8e0, type=FUNC, size=0x13c)
[D] sys_call_table[56]: Symbol("sys_ni_syscall" at 0xc00af8a8, type=FUNC, size=0x18)
[D] sys_call_table[57]: Symbol("sys_setpgid" at 0xc0099328, type=FUNC, size=0x228)
[D] sys_call_table[58]: Symbol("sys_ni_syscall" at 0xc00af8a8, type=FUNC, size=0x18)
[D] sys_call_table[59]: Symbol("sys_olduname" at 0xc0099878, type=FUNC, size=0x168)
[D] sys_call_table[60]: Symbol("sys_umask" at 0xc009a924, type=FUNC, size=0x38)
[D] sys_call_table[61]: Symbol("sys_chroot" at 0xc03ebb6c, type=FUNC, size=0x124)
[D] sys_call_table[62]: Symbol("sys_ustat" at 0xc0452518, type=FUNC, size=0x1c)
[D] sys_call_table[63]: Symbol("sys_dup2" at 0xc04252e4, type=FUNC, size=0xf8)
[D] sys_call_table[64]: Symbol("sys_getppid" at 0xc0099074, type=FUNC, size=0x34)
[D] sys_call_table[65]: Symbol("sys_getpgrp" at 0xc00995e4, type=FUNC, size=0x30)
[D] sys_call_table[66]: Symbol("sys_setsid" at 0xc0099828, type=FUNC, size=0x14)
[D] sys_call_table[67]: Symbol("sys_sigaction" at 0xc00951a8, type=FUNC, size=0x258)
[D] sys_call_table[68]: Symbol("sys_sgetmask" at 0xc0095404, type=FUNC, size=0x18)
[D] sys_call_table[69]: Symbol("sys_ssetmask" at 0xc0095420, type=FUNC, size=0x78)
[D] sys_call_table[70]: Symbol("sys_setreuid" at 0xc0097dac, type=FUNC, size=0x1c)
[D] sys_call_table[71]: Symbol("sys_setregid" at 0xc00978bc, type=FUNC, size=0x1c)
[D] sys_call_table[72]: Symbol("sys_sigsuspend" at 0xc0095670, type=FUNC, size=0x64)
[D] sys_call_table[73]: Symbol("sys_sigpending" at 0xc0094e84, type=FUNC, size=0x8c)
[D] sys_call_table[74]: Symbol("sys_sethostname" at 0xc00999e4, type=FUNC, size=0x124)
[D] sys_call_table[75]: Symbol("sys_setrlimit" at 0xc009a31c, type=FUNC, size=0x98)
[D] sys_call_table[76]: Symbol("sys_old_getrlimit" at 0xc0099e7c, type=FUNC, size=0x128)
[D] sys_call_table[77]: Symbol("sys_getrusage" at 0xc009a868, type=FUNC, size=0xb8)
[D] sys_call_table[78]: Symbol("sys_gettimeofday" at 0xc01594f8, type=FUNC, size=0x1a0)
[D] sys_call_table[79]: Symbol("sys_settimeofday" at 0xc0159804, type=FUNC, size=0x14c)
[D] sys_call_table[80]: Symbol("sys_getgroups" at 0xc00b9004, type=FUNC, size=0x168)
[D] sys_call_table[81]: Symbol("sys_setgroups" at 0xc00b91d4, type=FUNC, size=0x248)
[D] sys_call_table[82]: Symbol("sys_old_select" at 0xc0414fa0, type=FUNC, size=0x98)
[D] sys_call_table[83]: Symbol("sys_symlink" at 0xc040d730, type=FUNC, size=0xe4)
[D] sys_call_table[84]: Symbol("sys_lstat" at 0xc03fb820, type=FUNC, size=0x1c)
[D] sys_call_table[85]: Symbol("sys_readlink" at 0xc03fb8e8, type=FUNC, size=0x28)
[D] sys_call_table[86]: Symbol("sys_uselib" at 0xc00b0d1c, type=FUNC, size=0x18)
[D] sys_call_table[87]: Symbol("sys_swapon" at 0xc03ba768, type=FUNC, size=0x137c)
[D] sys_call_table[88]: Symbol("sys_reboot" at 0xc00b5f6c, type=FUNC, size=0x24)
