[D] Systrack v0.8
[D] Command line: systrack -vvvv --format json --arch riscv --kdir /mnt/m2data/linux-worktrees/v6.12 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-riscv-v6.12
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-riscv-v6.12
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-riscv-v6.12
Detected kernel version: 6.12.0 (from vmlinux)
[D] Arch: ArchRiscV(name='riscv', bits32=True, abi='rv32', compat=False, ...)
[D] Syscall table: Symbol("sys_call_table" at 0xc1400bb8, type=OBJECT, size=0x73c)
[I] Syscall table (sys_call_table) is 1852 bytes, 463 entries
[D] Found ni_syscall: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] Found ni_syscall: Symbol("sys_ni_syscall" at 0xc0035884, type=FUNC, size=0x10)
[D] sys_call_table[0]: Symbol("__riscv_sys_io_setup" at 0xc02908ea, type=FUNC, size=0x26)
[D] sys_call_table[1]: Symbol("__riscv_sys_io_destroy" at 0xc0290a14, type=FUNC, size=0x24)
[D] sys_call_table[2]: Symbol("__riscv_sys_io_submit" at 0xc0290a4c, type=FUNC, size=0x24)
[D] sys_call_table[3]: Symbol("__riscv_sys_io_cancel" at 0xc0290bbc, type=FUNC, size=0x24)
[D] sys_call_table[4]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[5]: Symbol("__riscv_sys_setxattr" at 0xc0260e0e, type=FUNC, size=0x24)
[D] sys_call_table[6]: Symbol("__riscv_sys_lsetxattr" at 0xc0260e46, type=FUNC, size=0x24)
[D] sys_call_table[7]: Symbol("__riscv_sys_fsetxattr" at 0xc0260e7c, type=FUNC, size=0x24)
[D] sys_call_table[8]: Symbol("__riscv_sys_getxattr" at 0xc026110c, type=FUNC, size=0x24)
[D] sys_call_table[9]: Symbol("__riscv_sys_lgetxattr" at 0xc0261144, type=FUNC, size=0x24)
[D] sys_call_table[10]: Symbol("__riscv_sys_fgetxattr" at 0xc02611e2, type=FUNC, size=0x24)
[D] sys_call_table[11]: Symbol("__riscv_sys_listxattr" at 0xc026121c, type=FUNC, size=0x24)
[D] sys_call_table[12]: Symbol("__riscv_sys_llistxattr" at 0xc0261256, type=FUNC, size=0x24)
[D] sys_call_table[13]: Symbol("__riscv_sys_flistxattr" at 0xc02612f4, type=FUNC, size=0x24)
[D] sys_call_table[14]: Symbol("__riscv_sys_removexattr" at 0xc026132e, type=FUNC, size=0x24)
[D] sys_call_table[15]: Symbol("__riscv_sys_lremovexattr" at 0xc0261368, type=FUNC, size=0x24)
[D] sys_call_table[16]: Symbol("__riscv_sys_fremovexattr" at 0xc02613a0, type=FUNC, size=0x24)
[D] sys_call_table[17]: Symbol("__riscv_sys_getcwd" at 0xc027123a, type=FUNC, size=0x24)
[D] sys_call_table[18]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[19]: Symbol("__riscv_sys_eventfd2" at 0xc028a30c, type=FUNC, size=0x24)
[D] sys_call_table[20]: Symbol("__riscv_sys_epoll_create1" at 0xc0286c6a, type=FUNC, size=0x24)
[D] sys_call_table[21]: Symbol("__riscv_sys_epoll_ctl" at 0xc02877da, type=FUNC, size=0x24)
[D] sys_call_table[22]: Symbol("__riscv_sys_epoll_pwait" at 0xc0287ade, type=FUNC, size=0x24)
[D] sys_call_table[23]: Symbol("__riscv_sys_dup" at 0xc0255ee2, type=FUNC, size=0x24)
[D] sys_call_table[24]: Symbol("__riscv_sys_dup3" at 0xc0255d14, type=FUNC, size=0x24)
[D] sys_call_table[25]: Symbol("__riscv_sys_fcntl64" at 0xc024857a, type=FUNC, size=0x24)
[D] sys_call_table[26]: Symbol("__riscv_sys_inotify_init1" at 0xc028226e, type=FUNC, size=0x24)
[D] sys_call_table[27]: Symbol("__riscv_sys_inotify_add_watch" at 0xc02825fa, type=FUNC, size=0x24)
[D] sys_call_table[28]: Symbol("__riscv_sys_inotify_rm_watch" at 0xc02826b4, type=FUNC, size=0x24)
[D] sys_call_table[29]: Symbol("__riscv_sys_ioctl" at 0xc0249cc6, type=FUNC, size=0x26)
[D] sys_call_table[30]: Symbol("__riscv_sys_ioprio_set" at 0xc045282c, type=FUNC, size=0x24)
[D] sys_call_table[31]: Symbol("__riscv_sys_ioprio_get" at 0xc0452ab4, type=FUNC, size=0x24)
[D] sys_call_table[32]: Symbol("__riscv_sys_flock" at 0xc0295e80, type=FUNC, size=0x24)
[D] sys_call_table[33]: Symbol("__riscv_sys_mknodat" at 0xc02466b2, type=FUNC, size=0x24)
[D] sys_call_table[34]: Symbol("__riscv_sys_mkdirat" at 0xc02468ca, type=FUNC, size=0x24)
[D] sys_call_table[35]: Symbol("__riscv_sys_unlinkat" at 0xc0246dc8, type=FUNC, size=0x24)
[D] sys_call_table[36]: Symbol("__riscv_sys_symlinkat" at 0xc0246f96, type=FUNC, size=0x24)
[D] sys_call_table[37]: Symbol("__riscv_sys_linkat" at 0xc024725a, type=FUNC, size=0x24)
[D] sys_call_table[38]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[39]: Symbol("__riscv_sys_umount" at 0xc0259e58, type=FUNC, size=0x24)
[D] sys_call_table[40]: Symbol("__riscv_sys_mount" at 0xc025c110, type=FUNC, size=0x24)
[D] sys_call_table[41]: Symbol("__riscv_sys_pivot_root" at 0xc025cb62, type=FUNC, size=0x24)
[D] sys_call_table[42]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[43]: Symbol("__riscv_sys_statfs64" at 0xc0271e4a, type=FUNC, size=0x24)
[D] sys_call_table[44]: Symbol("__riscv_sys_fstatfs64" at 0xc0271f6c, type=FUNC, size=0x24)
[D] sys_call_table[45]: Symbol("__riscv_sys_truncate64" at 0xc023196a, type=FUNC, size=0x24)
[D] sys_call_table[46]: Symbol("__riscv_sys_ftruncate64" at 0xc02319a2, type=FUNC, size=0x24)
[D] sys_call_table[47]: Symbol("__riscv_sys_fallocate" at 0xc0231a9a, type=FUNC, size=0x24)
[D] sys_call_table[48]: Symbol("__riscv_sys_faccessat" at 0xc0231ad4, type=FUNC, size=0x24)
[D] sys_call_table[49]: Symbol("__riscv_sys_chdir" at 0xc0231c20, type=FUNC, size=0x24)
[D] sys_call_table[50]: Symbol("__riscv_sys_fchdir" at 0xc0231cd0, type=FUNC, size=0x24)
[D] sys_call_table[51]: Symbol("__riscv_sys_chroot" at 0xc0231dd0, type=FUNC, size=0x24)
[D] sys_call_table[52]: Symbol("__riscv_sys_fchmod" at 0xc0231ff0, type=FUNC, size=0x24)
[D] sys_call_table[53]: Symbol("__riscv_sys_fchmodat" at 0xc0232184, type=FUNC, size=0x24)
[D] sys_call_table[54]: Symbol("__riscv_sys_fchownat" at 0xc0232516, type=FUNC, size=0x24)
[D] sys_call_table[55]: Symbol("__riscv_sys_fchown" at 0xc02327c2, type=FUNC, size=0x24)
[D] sys_call_table[56]: Symbol("__riscv_sys_openat" at 0xc0232f96, type=FUNC, size=0x24)
[D] sys_call_table[57]: Symbol("__riscv_sys_close" at 0xc02331ba, type=FUNC, size=0x24)
[D] sys_call_table[58]: Symbol("__riscv_sys_vhangup" at 0xc0233216, type=FUNC, size=0x2a)
[D] sys_call_table[59]: Symbol("__riscv_sys_pipe2" at 0xc023fc74, type=FUNC, size=0x24)
[D] sys_call_table[60]: Symbol("__riscv_sys_quotactl" at 0xc02ac64a, type=FUNC, size=0x24)
[D] sys_call_table[61]: Symbol("__riscv_sys_getdents64" at 0xc024a34c, type=FUNC, size=0x24)
[D] sys_call_table[62]: Symbol("__riscv_sys_llseek" at 0xc0234bd8, type=FUNC, size=0x24)
[D] sys_call_table[63]: Symbol("__riscv_sys_read" at 0xc02359e0, type=FUNC, size=0x24)
[D] sys_call_table[64]: Symbol("__riscv_sys_write" at 0xc0235aee, type=FUNC, size=0x24)
[D] sys_call_table[65]: Symbol("__riscv_sys_readv" at 0xc0235d8c, type=FUNC, size=0x24)
[D] sys_call_table[66]: Symbol("__riscv_sys_writev" at 0xc0235dc6, type=FUNC, size=0x24)
[D] sys_call_table[67]: Symbol("__riscv_sys_pread64" at 0xc0235c22, type=FUNC, size=0x24)
[D] sys_call_table[68]: Symbol("__riscv_sys_pwrite64" at 0xc0235d52, type=FUNC, size=0x24)
[D] sys_call_table[69]: Symbol("__riscv_sys_preadv" at 0xc0235e80, type=FUNC, size=0x24)
[D] sys_call_table[70]: Symbol("__riscv_sys_pwritev" at 0xc0236012, type=FUNC, size=0x24)
[D] sys_call_table[71]: Symbol("__riscv_sys_sendfile64" at 0xc02362ea, type=FUNC, size=0x24)
[D] sys_call_table[72]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[73]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[74]: Symbol("__riscv_sys_signalfd4" at 0xc0288648, type=FUNC, size=0x24)
[D] sys_call_table[75]: Symbol("__riscv_sys_vmsplice" at 0xc026f670, type=FUNC, size=0x24)
[D] sys_call_table[76]: Symbol("__riscv_sys_splice" at 0xc026f868, type=FUNC, size=0x24)
[D] sys_call_table[77]: Symbol("__riscv_sys_tee" at 0xc026fbf4, type=FUNC, size=0x24)
[D] sys_call_table[78]: Symbol("__riscv_sys_readlinkat" at 0xc023b78c, type=FUNC, size=0x24)
[D] sys_call_table[79]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[80]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[81]: Symbol("__riscv_sys_sync" at 0xc026fed4, type=FUNC, size=0x14)
[D] sys_call_table[82]: Symbol("__riscv_sys_fsync" at 0xc027004c, type=FUNC, size=0x24)
[D] sys_call_table[83]: Symbol("__riscv_sys_fdatasync" at 0xc02700e2, type=FUNC, size=0x24)
[D] sys_call_table[84]: Symbol("__riscv_sys_sync_file_range" at 0xc02702c6, type=FUNC, size=0x24)
[D] sys_call_table[85]: Symbol("__riscv_sys_timerfd_create" at 0xc02896e4, type=FUNC, size=0x24)
[D] sys_call_table[86]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[87]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[88]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[89]: Symbol("__riscv_sys_acct" at 0xc00c2234, type=FUNC, size=0x24)
[D] sys_call_table[90]: Symbol("__riscv_sys_capget" at 0xc001d3dc, type=FUNC, size=0x24)
[D] sys_call_table[91]: Symbol("__riscv_sys_capset" at 0xc001d588, type=FUNC, size=0x24)
[D] sys_call_table[92]: Symbol("__riscv_sys_personality" at 0xc0011d74, type=FUNC, size=0x24)
[D] sys_call_table[93]: Symbol("__riscv_sys_exit" at 0xc00176a0, type=FUNC, size=0x1c)
[D] sys_call_table[94]: Symbol("__riscv_sys_exit_group" at 0xc001773e, type=FUNC, size=0x1c)
[D] sys_call_table[95]: Symbol("__riscv_sys_waitid" at 0xc0017d20, type=FUNC, size=0x24)
[D] sys_call_table[96]: Symbol("__riscv_sys_set_tid_address" at 0xc000f7a8, type=FUNC, size=0x24)
[D] sys_call_table[97]: Symbol("__riscv_sys_unshare" at 0xc0011bec, type=FUNC, size=0x24)
[D] sys_call_table[98]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[99]: Symbol("__riscv_sys_set_robust_list" at 0xc00bbd10, type=FUNC, size=0x24)
[D] sys_call_table[100]: Symbol("__riscv_sys_get_robust_list" at 0xc00bbe02, type=FUNC, size=0x24)
[D] sys_call_table[101]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[102]: Symbol("__riscv_sys_getitimer" at 0xc00b30a8, type=FUNC, size=0x24)
[D] sys_call_table[103]: Symbol("__riscv_sys_setitimer" at 0xc00b3334, type=FUNC, size=0x24)
[D] sys_call_table[104]: Symbol("__riscv_sys_kexec_load" at 0xc00c43c4, type=FUNC, size=0x24)
[D] sys_call_table[105]: Symbol("__riscv_sys_init_module" at 0xc009a4d2, type=FUNC, size=0x24)
[D] sys_call_table[106]: Symbol("__riscv_sys_delete_module" at 0xc009aabc, type=FUNC, size=0x24)
[D] sys_call_table[107]: Symbol("__riscv_sys_timer_create" at 0xc00af4e8, type=FUNC, size=0x24)
[D] sys_call_table[108]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[109]: Symbol("__riscv_sys_timer_getoverrun" at 0xc00af6a4, type=FUNC, size=0x24)
[D] sys_call_table[110]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[111]: Symbol("__riscv_sys_timer_delete" at 0xc00afabe, type=FUNC, size=0x24)
[D] sys_call_table[112]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[113]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[114]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[115]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[116]: Symbol("__riscv_sys_syslog" at 0xc0071538, type=FUNC, size=0x24)
[D] sys_call_table[117]: Symbol("__riscv_sys_ptrace" at 0xc001e3c2, type=FUNC, size=0x24)
[D] sys_call_table[118]: Symbol("__riscv_sys_sched_setparam" at 0xc005ffb0, type=FUNC, size=0x24)
[D] sys_call_table[119]: Symbol("__riscv_sys_sched_setscheduler" at 0xc005ff76, type=FUNC, size=0x24)
[D] sys_call_table[120]: Symbol("__riscv_sys_sched_getscheduler" at 0xc0060308, type=FUNC, size=0x24)
[D] sys_call_table[121]: Symbol("__riscv_sys_sched_getparam" at 0xc00603e0, type=FUNC, size=0x24)
[D] sys_call_table[122]: Symbol("__riscv_sys_sched_setaffinity" at 0xc0060944, type=FUNC, size=0x24)
[D] sys_call_table[123]: Symbol("__riscv_sys_sched_getaffinity" at 0xc0060a8a, type=FUNC, size=0x24)
[D] sys_call_table[124]: Symbol("__riscv_sys_sched_yield" at 0xc0060aae, type=FUNC, size=0x16)
[D] sys_call_table[125]: Symbol("__riscv_sys_sched_get_priority_max" at 0xc0060b0a, type=FUNC, size=0x24)
[D] sys_call_table[126]: Symbol("__riscv_sys_sched_get_priority_min" at 0xc0060b72, type=FUNC, size=0x24)
[D] sys_call_table[127]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[128]: Symbol("__riscv_sys_restart_syscall" at 0xc00215b8, type=FUNC, size=0x1a)
[D] sys_call_table[129]: Symbol("__riscv_sys_kill" at 0xc0023d5c, type=FUNC, size=0x24)
[D] sys_call_table[130]: Symbol("__riscv_sys_tkill" at 0xc00240e4, type=FUNC, size=0x24)
[D] sys_call_table[131]: Symbol("__riscv_sys_tgkill" at 0xc0024042, type=FUNC, size=0x24)
[D] sys_call_table[132]: Symbol("__riscv_sys_sigaltstack" at 0xc00245c0, type=FUNC, size=0x24)
[D] sys_call_table[133]: Symbol("__riscv_sys_rt_sigsuspend" at 0xc00248be, type=FUNC, size=0x24)
[D] sys_call_table[134]: Symbol("__riscv_sys_rt_sigaction" at 0xc0024746, type=FUNC, size=0x24)
[D] sys_call_table[135]: Symbol("__riscv_sys_rt_sigprocmask" at 0xc002183c, type=FUNC, size=0x24)
[D] sys_call_table[136]: Symbol("__riscv_sys_rt_sigpending" at 0xc0021916, type=FUNC, size=0x24)
[D] sys_call_table[137]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[138]: Symbol("__riscv_sys_rt_sigqueueinfo" at 0xc00241dc, type=FUNC, size=0x24)
[D] sys_call_table[139]: Symbol("__riscv_sys_rt_sigreturn" at 0xc0004782, type=FUNC, size=0x2b2)
