[D] Systrack v0.8
[D] Command line: systrack -vvvv --format json --arch riscv --kdir /mnt/m2data/linux-worktrees/v6.6 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-riscv-v6.6
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-riscv-v6.6
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-riscv-v6.6
Detected kernel version: 6.6.0 (from vmlinux)
[D] Arch: ArchRiscV(name='riscv', bits32=True, abi='rv32', compat=False, ...)
[D] Syscall table: Symbol("sys_call_table" at 0xc10004d8, type=OBJECT, size=0x714)
[I] Syscall table (sys_call_table) is 1812 bytes, 453 entries
[D] Found ni_syscall: Symbol("__riscv_sys_ni_syscall" at 0xc00055ea, type=FUNC, size=0x10)
[D] Found ni_syscall: Symbol("sys_ni_syscall" at 0xc0030228, type=FUNC, size=0x10)
[D] sys_call_table[0]: Symbol("__riscv_sys_io_setup" at 0xc0256344, type=FUNC, size=0x7c4)
[D] sys_call_table[1]: Symbol("__riscv_sys_io_destroy" at 0xc0256b08, type=FUNC, size=0x108)
[D] sys_call_table[2]: Symbol("__riscv_sys_io_submit" at 0xc0256c10, type=FUNC, size=0x1c)
[D] sys_call_table[3]: Symbol("__riscv_sys_io_cancel" at 0xc0256c2c, type=FUNC, size=0x152)
[D] sys_call_table[4]: Symbol("__riscv_sys_ni_syscall" at 0xc00055ea, type=FUNC, size=0x10)
[D] sys_call_table[5]: Symbol("__riscv_sys_setxattr" at 0xc022b636, type=FUNC, size=0x20)
[D] sys_call_table[6]: Symbol("__riscv_sys_lsetxattr" at 0xc022b656, type=FUNC, size=0x20)
[D] sys_call_table[7]: Symbol("__riscv_sys_fsetxattr" at 0xc022b676, type=FUNC, size=0xb0)
[D] sys_call_table[8]: Symbol("__riscv_sys_getxattr" at 0xc022b984, type=FUNC, size=0x1e)
[D] sys_call_table[9]: Symbol("__riscv_sys_lgetxattr" at 0xc022b9a2, type=FUNC, size=0x1e)
[D] sys_call_table[10]: Symbol("__riscv_sys_fgetxattr" at 0xc022b9c0, type=FUNC, size=0x86)
[D] sys_call_table[11]: Symbol("__riscv_sys_listxattr" at 0xc022ba46, type=FUNC, size=0x1e)
[D] sys_call_table[12]: Symbol("__riscv_sys_llistxattr" at 0xc022ba64, type=FUNC, size=0x1e)
[D] sys_call_table[13]: Symbol("__riscv_sys_flistxattr" at 0xc022ba82, type=FUNC, size=0x84)
[D] sys_call_table[14]: Symbol("__riscv_sys_removexattr" at 0xc022bb06, type=FUNC, size=0x1c)
[D] sys_call_table[15]: Symbol("__riscv_sys_lremovexattr" at 0xc022bb22, type=FUNC, size=0x1c)
[D] sys_call_table[16]: Symbol("__riscv_sys_fremovexattr" at 0xc022bb3e, type=FUNC, size=0x94)
[D] sys_call_table[17]: Symbol("__riscv_sys_getcwd" at 0xc02384a4, type=FUNC, size=0x168)
[D] sys_call_table[18]: Symbol("__riscv_sys_lookup_dcookie" at 0xc00302e8, type=FUNC, size=0x10)
[D] sys_call_table[19]: Symbol("__riscv_sys_eventfd2" at 0xc0250684, type=FUNC, size=0x18)
[D] sys_call_table[20]: Symbol("__riscv_sys_epoll_create1" at 0xc024d35e, type=FUNC, size=0x18)
[D] sys_call_table[21]: Symbol("__riscv_sys_epoll_ctl" at 0xc024de9c, type=FUNC, size=0x82)
[D] sys_call_table[22]: Symbol("__riscv_sys_epoll_pwait" at 0xc024df8c, type=FUNC, size=0xcc)
[D] sys_call_table[23]: Symbol("__riscv_sys_dup" at 0xc0221dc0, type=FUNC, size=0x60)
[D] sys_call_table[24]: Symbol("__riscv_sys_dup3" at 0xc0221d42, type=FUNC, size=0x1c)
[D] sys_call_table[25]: Symbol("__riscv_sys_fcntl64" at 0xc021526e, type=FUNC, size=0x174)
[D] sys_call_table[26]: Symbol("__riscv_sys_inotify_init1" at 0xc0248a48, type=FUNC, size=0x16)
[D] sys_call_table[27]: Symbol("__riscv_sys_inotify_add_watch" at 0xc0248a72, type=FUNC, size=0x37a)
[D] sys_call_table[28]: Symbol("__riscv_sys_inotify_rm_watch" at 0xc0248dec, type=FUNC, size=0x9e)
[D] sys_call_table[29]: Symbol("__riscv_sys_ioctl" at 0xc0216106, type=FUNC, size=0x8ea)
[D] sys_call_table[30]: Symbol("__riscv_sys_ioprio_set" at 0xc0405344, type=FUNC, size=0x1f8)
[D] sys_call_table[31]: Symbol("__riscv_sys_ioprio_get" at 0xc040553c, type=FUNC, size=0x2ae)
[D] sys_call_table[32]: Symbol("__riscv_sys_flock" at 0xc025bdfa, type=FUNC, size=0x1a)
[D] sys_call_table[33]: Symbol("__riscv_sys_mknodat" at 0xc021372a, type=FUNC, size=0x3e)
[D] sys_call_table[34]: Symbol("__riscv_sys_mkdirat" at 0xc02138ee, type=FUNC, size=0x52)
[D] sys_call_table[35]: Symbol("__riscv_sys_unlinkat" at 0xc0213db2, type=FUNC, size=0x4e)
[D] sys_call_table[36]: Symbol("__riscv_sys_symlinkat" at 0xc0213f6c, type=FUNC, size=0x46)
[D] sys_call_table[37]: Symbol("__riscv_sys_linkat" at 0xc0214236, type=FUNC, size=0x5e)
[D] sys_call_table[38]: Symbol("__riscv_sys_ni_syscall" at 0xc00055ea, type=FUNC, size=0x10)
[D] sys_call_table[39]: Symbol("__riscv_sys_umount" at 0xc02257ca, type=FUNC, size=0x70)
[D] sys_call_table[40]: Symbol("__riscv_sys_mount" at 0xc0227754, type=FUNC, size=0x19a)
[D] sys_call_table[41]: Symbol("__riscv_sys_pivot_root" at 0xc0227ee0, type=FUNC, size=0x448)
[D] sys_call_table[42]: Symbol("__riscv_sys_ni_syscall" at 0xc00055ea, type=FUNC, size=0x10)
[D] sys_call_table[43]: Symbol("__riscv_sys_statfs64" at 0xc023916e, type=FUNC, size=0x80)
