[D] Systrack v0.8
[D] Command line: systrack -vvvv --format json --arch riscv --kdir /mnt/m2data/linux-worktrees/v6.7 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-riscv-v6.7
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-riscv-v6.7
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-riscv-v6.7
Detected kernel version: 6.7.0 (from vmlinux)
[D] Arch: ArchRiscV(name='riscv', bits32=True, abi='rv32', compat=False, ...)
[D] Syscall table: Symbol("sys_call_table" at 0xc14004f0, type=OBJECT, size=0x724)
[I] Syscall table (sys_call_table) is 1828 bytes, 457 entries
[D] Found ni_syscall: Symbol("__riscv_sys_ni_syscall" at 0xc0005830, type=FUNC, size=0x10)
[D] Found ni_syscall: Symbol("sys_ni_syscall" at 0xc00316ce, type=FUNC, size=0x10)
[D] sys_call_table[0]: Symbol("__riscv_sys_io_setup" at 0xc025db32, type=FUNC, size=0x7c6)
[D] sys_call_table[1]: Symbol("__riscv_sys_io_destroy" at 0xc025e2f8, type=FUNC, size=0x108)
[D] sys_call_table[2]: Symbol("__riscv_sys_io_submit" at 0xc025e400, type=FUNC, size=0x1c)
[D] sys_call_table[3]: Symbol("__riscv_sys_io_cancel" at 0xc025e41c, type=FUNC, size=0x152)
[D] sys_call_table[4]: Symbol("__riscv_sys_ni_syscall" at 0xc0005830, type=FUNC, size=0x10)
[D] sys_call_table[5]: Symbol("__riscv_sys_setxattr" at 0xc0232fa8, type=FUNC, size=0x20)
[D] sys_call_table[6]: Symbol("__riscv_sys_lsetxattr" at 0xc0232fc8, type=FUNC, size=0x20)
[D] sys_call_table[7]: Symbol("__riscv_sys_fsetxattr" at 0xc0232fe8, type=FUNC, size=0xb0)
[D] sys_call_table[8]: Symbol("__riscv_sys_getxattr" at 0xc02332f2, type=FUNC, size=0x1e)
[D] sys_call_table[9]: Symbol("__riscv_sys_lgetxattr" at 0xc0233310, type=FUNC, size=0x1e)
[D] sys_call_table[10]: Symbol("__riscv_sys_fgetxattr" at 0xc023332e, type=FUNC, size=0x86)
[D] sys_call_table[11]: Symbol("__riscv_sys_listxattr" at 0xc02333b4, type=FUNC, size=0x1e)
[D] sys_call_table[12]: Symbol("__riscv_sys_llistxattr" at 0xc02333d2, type=FUNC, size=0x1e)
[D] sys_call_table[13]: Symbol("__riscv_sys_flistxattr" at 0xc02333f0, type=FUNC, size=0x84)
[D] sys_call_table[14]: Symbol("__riscv_sys_removexattr" at 0xc0233474, type=FUNC, size=0x1c)
[D] sys_call_table[15]: Symbol("__riscv_sys_lremovexattr" at 0xc0233490, type=FUNC, size=0x1c)
[D] sys_call_table[16]: Symbol("__riscv_sys_fremovexattr" at 0xc02334ac, type=FUNC, size=0x94)
[D] sys_call_table[17]: Symbol("__riscv_sys_getcwd" at 0xc023fdf0, type=FUNC, size=0x168)
[D] sys_call_table[18]: Symbol("__riscv_sys_ni_syscall" at 0xc0005830, type=FUNC, size=0x10)
[D] sys_call_table[19]: Symbol("__riscv_sys_eventfd2" at 0xc0257f12, type=FUNC, size=0x18)
[D] sys_call_table[20]: Symbol("__riscv_sys_epoll_create1" at 0xc0254be2, type=FUNC, size=0x18)
[D] sys_call_table[21]: Symbol("__riscv_sys_epoll_ctl" at 0xc0255724, type=FUNC, size=0x82)
[D] sys_call_table[22]: Symbol("__riscv_sys_epoll_pwait" at 0xc0255814, type=FUNC, size=0xcc)
[D] sys_call_table[23]: Symbol("__riscv_sys_dup" at 0xc02296aa, type=FUNC, size=0xbc)
[D] sys_call_table[24]: Symbol("__riscv_sys_dup3" at 0xc02295e0, type=FUNC, size=0x1c)
[D] sys_call_table[25]: Symbol("__riscv_sys_fcntl64" at 0xc021c7ac, type=FUNC, size=0x174)
[D] sys_call_table[26]: Symbol("__riscv_sys_inotify_init1" at 0xc02502c4, type=FUNC, size=0x16)
[D] sys_call_table[27]: Symbol("__riscv_sys_inotify_add_watch" at 0xc02502ee, type=FUNC, size=0x37a)
[D] sys_call_table[28]: Symbol("__riscv_sys_inotify_rm_watch" at 0xc0250668, type=FUNC, size=0x9e)
[D] sys_call_table[29]: Symbol("__riscv_sys_ioctl" at 0xc021d644, type=FUNC, size=0x8ea)
[D] sys_call_table[30]: Symbol("__riscv_sys_ioprio_set" at 0xc040e69c, type=FUNC, size=0x1f8)
[D] sys_call_table[31]: Symbol("__riscv_sys_ioprio_get" at 0xc040e894, type=FUNC, size=0x2ae)
[D] sys_call_table[32]: Symbol("__riscv_sys_flock" at 0xc02635ea, type=FUNC, size=0x1a)
[D] sys_call_table[33]: Symbol("__riscv_sys_mknodat" at 0xc021ac9e, type=FUNC, size=0x3e)
