[D] Systrack v0.8
[D] Command line: systrack -vvvv --format json --arch riscv64-32 --kdir /mnt/m2data/linux-worktrees/v6.16 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-riscv64-v6.16
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-riscv64-v6.16
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-riscv64-v6.16
Detected kernel version: 6.16.0 (from vmlinux)
[D] Arch: ArchRiscV(name='riscv', bits32=False, abi='rv32', compat=True, ...)
[D] Syscall table: Symbol("compat_sys_call_table" at 0xffffffff81003198, type=OBJECT, size=0xea0)
[I] Syscall table (compat_sys_call_table) is 3744 bytes, 468 entries
[D] Found ni_syscall: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80013654, type=FUNC, size=0x14)
[D] Found ni_syscall: Symbol("sys_ni_syscall" at 0xffffffff8004fbf8, type=FUNC, size=0x14)
[D] compat_sys_call_table[0]: Symbol("__riscv_compat_sys_io_setup" at 0xffffffff802e8d80, type=FUNC, size=0x24c)
[D] compat_sys_call_table[1]: Symbol("__riscv_sys_io_destroy" at 0xffffffff802e8fcc, type=FUNC, size=0xf8)
[D] compat_sys_call_table[2]: Symbol("__riscv_compat_sys_io_submit" at 0xffffffff802e92c4, type=FUNC, size=0x1fc)
[D] compat_sys_call_table[3]: Symbol("__riscv_sys_io_cancel" at 0xffffffff802e94c0, type=FUNC, size=0x228)
[D] compat_sys_call_table[4]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80013654, type=FUNC, size=0x14)
[D] compat_sys_call_table[5]: Symbol("__riscv_sys_setxattr" at 0xffffffff802b410c, type=FUNC, size=0x28)
[D] compat_sys_call_table[6]: Symbol("__riscv_sys_lsetxattr" at 0xffffffff802b4134, type=FUNC, size=0x2a)
[D] compat_sys_call_table[7]: Symbol("__riscv_sys_fsetxattr" at 0xffffffff802b4160, type=FUNC, size=0x26)
[D] compat_sys_call_table[8]: Symbol("__riscv_sys_getxattr" at 0xffffffff802b4474, type=FUNC, size=0x24)
[D] compat_sys_call_table[9]: Symbol("__riscv_sys_lgetxattr" at 0xffffffff802b4498, type=FUNC, size=0x26)
[D] compat_sys_call_table[10]: Symbol("__riscv_sys_fgetxattr" at 0xffffffff802b44c0, type=FUNC, size=0x22)
[D] compat_sys_call_table[11]: Symbol("__riscv_sys_listxattr" at 0xffffffff802b4504, type=FUNC, size=0x22)
[D] compat_sys_call_table[12]: Symbol("__riscv_sys_llistxattr" at 0xffffffff802b4528, type=FUNC, size=0x24)
[D] compat_sys_call_table[13]: Symbol("__riscv_sys_flistxattr" at 0xffffffff802b454c, type=FUNC, size=0x20)
[D] compat_sys_call_table[14]: Symbol("__riscv_sys_removexattr" at 0xffffffff802b458c, type=FUNC, size=0x20)
[D] compat_sys_call_table[15]: Symbol("__riscv_sys_lremovexattr" at 0xffffffff802b45ac, type=FUNC, size=0x22)
[D] compat_sys_call_table[16]: Symbol("__riscv_sys_fremovexattr" at 0xffffffff802b45d0, type=FUNC, size=0x1e)
[D] compat_sys_call_table[17]: Symbol("__riscv_sys_getcwd" at 0xffffffff802c5358, type=FUNC, size=0x162)
[D] compat_sys_call_table[18]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80013654, type=FUNC, size=0x14)
[D] compat_sys_call_table[19]: Symbol("__riscv_sys_eventfd2" at 0xffffffff802e1910, type=FUNC, size=0x1a)
[D] compat_sys_call_table[20]: Symbol("__riscv_sys_epoll_create1" at 0xffffffff802ddd58, type=FUNC, size=0x18)
[D] compat_sys_call_table[21]: Symbol("__riscv_sys_epoll_ctl" at 0xffffffff802de8bc, type=FUNC, size=0x80)
[D] compat_sys_call_table[22]: Symbol("__riscv_compat_sys_epoll_pwait" at 0xffffffff802dec70, type=FUNC, size=0x110)
[D] compat_sys_call_table[23]: Symbol("__riscv_sys_dup" at 0xffffffff802a73e8, type=FUNC, size=0xae)
[D] compat_sys_call_table[24]: Symbol("__riscv_sys_dup3" at 0xffffffff802a7324, type=FUNC, size=0x1c)
[D] compat_sys_call_table[25]: Symbol("__riscv_compat_sys_fcntl64" at 0xffffffff802943f8, type=FUNC, size=0x1c)
[D] compat_sys_call_table[26]: Symbol("__riscv_sys_inotify_init1" at 0xffffffff802d8448, type=FUNC, size=0x18)
[D] compat_sys_call_table[27]: Symbol("__riscv_sys_inotify_add_watch" at 0xffffffff802d8478, type=FUNC, size=0x3de)
[D] compat_sys_call_table[28]: Symbol("__riscv_sys_inotify_rm_watch" at 0xffffffff802d8858, type=FUNC, size=0xfe)
[D] compat_sys_call_table[29]: Symbol("__riscv_compat_sys_ioctl" at 0xffffffff802960f0, type=FUNC, size=0x10e)
[D] compat_sys_call_table[30]: Symbol("__riscv_sys_ioprio_set" at 0xffffffff804c9418, type=FUNC, size=0x21a)
[D] compat_sys_call_table[31]: Symbol("__riscv_sys_ioprio_get" at 0xffffffff804c9634, type=FUNC, size=0x31c)
[D] compat_sys_call_table[32]: Symbol("__riscv_sys_flock" at 0xffffffff802eee50, type=FUNC, size=0x1a)
[D] compat_sys_call_table[33]: Symbol("__riscv_sys_mknodat" at 0xffffffff8029215c, type=FUNC, size=0x5c)
[D] compat_sys_call_table[34]: Symbol("__riscv_sys_mkdirat" at 0xffffffff80292348, type=FUNC, size=0x52)
[D] compat_sys_call_table[35]: Symbol("__riscv_sys_unlinkat" at 0xffffffff802927c8, type=FUNC, size=0x88)
[D] compat_sys_call_table[36]: Symbol("__riscv_sys_symlinkat" at 0xffffffff802929b4, type=FUNC, size=0x7c)
[D] compat_sys_call_table[37]: Symbol("__riscv_sys_linkat" at 0xffffffff80292cbc, type=FUNC, size=0x94)
[D] compat_sys_call_table[38]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80013654, type=FUNC, size=0x14)
[D] compat_sys_call_table[39]: Symbol("__riscv_sys_umount" at 0xffffffff802acd38, type=FUNC, size=0x7c)
[D] compat_sys_call_table[40]: Symbol("__riscv_sys_mount" at 0xffffffff802af45c, type=FUNC, size=0x1d8)
[D] compat_sys_call_table[41]: Symbol("__riscv_sys_pivot_root" at 0xffffffff802afbd0, type=FUNC, size=0x4ae)
[D] compat_sys_call_table[42]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80013654, type=FUNC, size=0x14)
[D] compat_sys_call_table[43]: Symbol("__riscv_compat_sys_statfs64" at 0xffffffff802c698c, type=FUNC, size=0x1c)
[D] compat_sys_call_table[44]: Symbol("__riscv_compat_sys_fstatfs64" at 0xffffffff802c6a48, type=FUNC, size=0x1c)
[D] compat_sys_call_table[45]: Symbol("__riscv_compat_sys_truncate64" at 0xffffffff8027ac80, type=FUNC, size=0x22)
[D] compat_sys_call_table[46]: Symbol("__riscv_compat_sys_ftruncate64" at 0xffffffff8027aca4, type=FUNC, size=0x24)
[D] compat_sys_call_table[47]: Symbol("__riscv_compat_sys_fallocate" at 0xffffffff8027adc4, type=FUNC, size=0x92)
[D] compat_sys_call_table[48]: Symbol("__riscv_sys_faccessat" at 0xffffffff8027ae58, type=FUNC, size=0x1e)
[D] compat_sys_call_table[49]: Symbol("__riscv_sys_chdir" at 0xffffffff8027aeb8, type=FUNC, size=0xb2)
[D] compat_sys_call_table[50]: Symbol("__riscv_sys_fchdir" at 0xffffffff8027af6c, type=FUNC, size=0x94)
[D] compat_sys_call_table[51]: Symbol("__riscv_sys_chroot" at 0xffffffff8027b000, type=FUNC, size=0xde)
[D] compat_sys_call_table[52]: Symbol("__riscv_sys_fchmod" at 0xffffffff8027b284, type=FUNC, size=0x8c)
[D] compat_sys_call_table[53]: Symbol("__riscv_sys_fchmodat" at 0xffffffff8027b3d8, type=FUNC, size=0x9c)
[D] compat_sys_call_table[54]: Symbol("__riscv_sys_fchownat" at 0xffffffff8027b7f0, type=FUNC, size=0x20)
[D] compat_sys_call_table[55]: Symbol("__riscv_sys_fchown" at 0xffffffff8027b920, type=FUNC, size=0x74)
[D] compat_sys_call_table[56]: Symbol("__riscv_sys_openat" at 0xffffffff8027c088, type=FUNC, size=0x88)
[D] compat_sys_call_table[57]: Symbol("__riscv_sys_close" at 0xffffffff8027c354, type=FUNC, size=0x5a)
