[D] Systrack v0.8
[D] Command line: systrack -vvvv --format json --arch riscv64 --kdir /mnt/m2data/linux-worktrees/v6.6 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-riscv64-v6.6
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-riscv64-v6.6
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-riscv64-v6.6
Detected kernel version: 6.6.0 (from vmlinux)
[D] Arch: ArchRiscV(name='riscv', bits32=False, abi='rv64', compat=False, ...)
[D] Syscall table: Symbol("sys_call_table" at 0xffffffff80e008b8, type=OBJECT, size=0xe28)
[I] Syscall table (sys_call_table) is 3624 bytes, 453 entries
[D] Found ni_syscall: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] Found ni_syscall: Symbol("sys_ni_syscall" at 0xffffffff800378a6, type=FUNC, size=0x14)
[D] sys_call_table[0]: Symbol("__riscv_sys_io_setup" at 0xffffffff80280ff4, type=FUNC, size=0x17c)
[D] sys_call_table[1]: Symbol("__riscv_sys_io_destroy" at 0xffffffff802812ec, type=FUNC, size=0x116)
[D] sys_call_table[2]: Symbol("__riscv_sys_io_submit" at 0xffffffff80281402, type=FUNC, size=0x1c0)
[D] sys_call_table[3]: Symbol("__riscv_sys_io_cancel" at 0xffffffff80281778, type=FUNC, size=0x194)
[D] sys_call_table[4]: Symbol("__riscv_sys_io_getevents" at 0xffffffff8028190c, type=FUNC, size=0xac)
[D] sys_call_table[5]: Symbol("__riscv_sys_setxattr" at 0xffffffff80254e76, type=FUNC, size=0x22)
[D] sys_call_table[6]: Symbol("__riscv_sys_lsetxattr" at 0xffffffff80254e98, type=FUNC, size=0x22)
[D] sys_call_table[7]: Symbol("__riscv_sys_fsetxattr" at 0xffffffff80254eba, type=FUNC, size=0xc0)
[D] sys_call_table[8]: Symbol("__riscv_sys_getxattr" at 0xffffffff802551da, type=FUNC, size=0x20)
[D] sys_call_table[9]: Symbol("__riscv_sys_lgetxattr" at 0xffffffff802551fa, type=FUNC, size=0x20)
[D] sys_call_table[10]: Symbol("__riscv_sys_fgetxattr" at 0xffffffff8025521a, type=FUNC, size=0x8e)
[D] sys_call_table[11]: Symbol("__riscv_sys_listxattr" at 0xffffffff802552a8, type=FUNC, size=0x1e)
[D] sys_call_table[12]: Symbol("__riscv_sys_llistxattr" at 0xffffffff802552c6, type=FUNC, size=0x1e)
[D] sys_call_table[13]: Symbol("__riscv_sys_flistxattr" at 0xffffffff802552e4, type=FUNC, size=0x9a)
[D] sys_call_table[14]: Symbol("__riscv_sys_removexattr" at 0xffffffff8025537e, type=FUNC, size=0x1c)
[D] sys_call_table[15]: Symbol("__riscv_sys_lremovexattr" at 0xffffffff8025539a, type=FUNC, size=0x1c)
[D] sys_call_table[16]: Symbol("__riscv_sys_fremovexattr" at 0xffffffff802553b6, type=FUNC, size=0xa0)
[D] sys_call_table[17]: Symbol("__riscv_sys_getcwd" at 0xffffffff8026214a, type=FUNC, size=0x180)
[D] sys_call_table[18]: Symbol("__riscv_sys_lookup_dcookie" at 0xffffffff800379e6, type=FUNC, size=0x14)
[D] sys_call_table[19]: Symbol("__riscv_sys_eventfd2" at 0xffffffff8027a8de, type=FUNC, size=0x1a)
[D] sys_call_table[20]: Symbol("__riscv_sys_epoll_create1" at 0xffffffff80277544, type=FUNC, size=0x18)
[D] sys_call_table[21]: Symbol("__riscv_sys_epoll_ctl" at 0xffffffff802780da, type=FUNC, size=0x80)
[D] sys_call_table[22]: Symbol("__riscv_sys_epoll_pwait" at 0xffffffff80278244, type=FUNC, size=0x10c)
[D] sys_call_table[23]: Symbol("__riscv_sys_dup" at 0xffffffff8024ae76, type=FUNC, size=0x60)
[D] sys_call_table[24]: Symbol("__riscv_sys_dup3" at 0xffffffff8024ade8, type=FUNC, size=0x1c)
[D] sys_call_table[25]: Symbol("__riscv_sys_fcntl" at 0xffffffff8023c852, type=FUNC, size=0xa0)
[D] sys_call_table[26]: Symbol("__riscv_sys_inotify_init1" at 0xffffffff80272698, type=FUNC, size=0x18)
[D] sys_call_table[27]: Symbol("__riscv_sys_inotify_add_watch" at 0xffffffff802726c6, type=FUNC, size=0x3a0)
[D] sys_call_table[28]: Symbol("__riscv_sys_inotify_rm_watch" at 0xffffffff80272a66, type=FUNC, size=0xbc)
[D] sys_call_table[29]: Symbol("__riscv_sys_ioctl" at 0xffffffff8023dfe6, type=FUNC, size=0xae)
[D] sys_call_table[30]: Symbol("__riscv_sys_ioprio_set" at 0xffffffff80438080, type=FUNC, size=0x262)
[D] sys_call_table[31]: Symbol("__riscv_sys_ioprio_get" at 0xffffffff804382e2, type=FUNC, size=0x322)
[D] sys_call_table[32]: Symbol("__riscv_sys_flock" at 0xffffffff80286ab6, type=FUNC, size=0x1a)
[D] sys_call_table[33]: Symbol("__riscv_sys_mknodat" at 0xffffffff8023a774, type=FUNC, size=0x5e)
[D] sys_call_table[34]: Symbol("__riscv_sys_mkdirat" at 0xffffffff8023a958, type=FUNC, size=0x54)
[D] sys_call_table[35]: Symbol("__riscv_sys_unlinkat" at 0xffffffff8023ae2e, type=FUNC, size=0x8c)
[D] sys_call_table[36]: Symbol("__riscv_sys_symlinkat" at 0xffffffff8023b03e, type=FUNC, size=0x80)
[D] sys_call_table[37]: Symbol("__riscv_sys_linkat" at 0xffffffff8023b3b8, type=FUNC, size=0x9a)
[D] sys_call_table[38]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[39]: Symbol("__riscv_sys_umount" at 0xffffffff8024ec3a, type=FUNC, size=0x7e)
[D] sys_call_table[40]: Symbol("__riscv_sys_mount" at 0xffffffff80250d66, type=FUNC, size=0x1e0)
[D] sys_call_table[41]: Symbol("__riscv_sys_pivot_root" at 0xffffffff80251594, type=FUNC, size=0x47a)
[D] sys_call_table[42]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[43]: Symbol("__riscv_sys_statfs" at 0xffffffff802633cc, type=FUNC, size=0x1a)
[D] sys_call_table[44]: Symbol("__riscv_sys_fstatfs" at 0xffffffff80263402, type=FUNC, size=0x1a)
[D] sys_call_table[45]: Symbol("__riscv_sys_truncate" at 0xffffffff802253fe, type=FUNC, size=0x1a)
[D] sys_call_table[46]: Symbol("__riscv_sys_ftruncate" at 0xffffffff802255f8, type=FUNC, size=0x1c)
[D] sys_call_table[47]: Symbol("__riscv_sys_fallocate" at 0xffffffff802256ea, type=FUNC, size=0x6c)
[D] sys_call_table[48]: Symbol("__riscv_sys_faccessat" at 0xffffffff802257e4, type=FUNC, size=0x1e)
